"target_name","string_id","source"
"TOP1","9606.ENSP00000354522","preferred_name"
"HSD17B10","9606.ENSP00000168216","preferred_name"
"KDM4E","9606.ENSP00000397239","preferred_name"
"TSHR","9606.ENSP00000441235","preferred_name"
"HIF1A","9606.ENSP00000437955","preferred_name"
"CYP2C9","9606.ENSP00000260682","preferred_name"
"TRPA1","9606.ENSP00000262209","preferred_name"
"PTGS2","9606.ENSP00000356438","preferred_name"
"LMNA","9606.ENSP00000357283","preferred_name"
"ALDH1A1","9606.ENSP00000297785","preferred_name"
"MAPK1","9606.ENSP00000215832","preferred_name"
"ALOX5","9606.ENSP00000363512","preferred_name"
"PTGS1","9606.ENSP00000354612","preferred_name"
"AR","9606.ENSP00000363822","preferred_name"
"CYP3A4","9606.ENSP00000498939","preferred_name"
"CACNA1C","9606.ENSP00000266376","preferred_name"
"CNR2","9606.ENSP00000363596","preferred_name"
"MAPT","9606.ENSP00000340820","preferred_name"
"CYP2A6","9606.ENSP00000301141","preferred_name"
"TDP1","9606.ENSP00000337353","preferred_name"
"TP53","9606.ENSP00000269305","preferred_name"
"CYP2D6","9606.ENSP00000496150","preferred_name"
"CYP1A2","9606.ENSP00000342007","preferred_name"
"CYP51A1","9606.ENSP00000003100","preferred_name"
"SMN1","9606.ENSP00000370083","preferred_name"
"HPGD","9606.ENSP00000296522","preferred_name"
"SLC22A1","9606.ENSP00000355930","preferred_name"
"TERT","9606.ENSP00000309572","preferred_name"
"PTPN1","9606.ENSP00000360683","preferred_name"
"RECQL","9606.ENSP00000416739","preferred_name"
"THRB","9606.ENSP00000379904","preferred_name"
"PKM","9606.ENSP00000320171","preferred_name"
"CDC25A","9606.ENSP00000303706","preferred_name"
"CDC25B","9606.ENSP00000245960","preferred_name"
"EGFR","9606.ENSP00000275493","preferred_name"
